model_name,num_epochs,loss,Dice,Jaccard,"Time, hours"
model_unet_plus_plus_3,50,0.358917,0.881834,0.757866,12.765842314693664
model_unet_plus_plus_2,14,0.2793957754265876,0.9064490795135498,0.8052327632904053,3.52629504945543
model_unet_plus_plus_1,12,0.338220622388048,0.8960907459259033,0.7868848443031311,2.7878636945618522
model_deep_labv3_1,15,0.5394182885791541,0.8383980393409729,0.6445627808570862,3.4806217730045326
model_deep_labv3_2,24,0.297830358541311,0.8993605971336365,0.7890147566795349,4.93853904598289
model_deep_labv3_3,15,0.5437424040769806,0.8687348365783691,0.7340883016586304,3.8457215950224133
model_PAN_2,15,0.3352858600067651,0.8878470659255981,0.7643412351608276,2.3957800012164645
model_PAN_1,40,0.3918769373367768,0.8690730333328247,0.7334325909614563,6.18554297539923
model_PAN_3,13,0.3563513007467733,0.8950334787368774,0.7806524634361267,2.0121860128641127
model_PSPNet_1,26,0.32359709008504567,0.8906099200248718,0.7739237546920776,3.1538138827350406
model_PSPNet_2,15,0.3498694043547466,0.895115077495575,0.7821074724197388,1.8676724625296064
model_PSPNet_3,12,402.7810862829695,0.2257834076881408,0.023059057071805,1.479076464176178
